threshold,precision,recall,f1,f2,tp,fp,fn
0.05,0.7282,0.7979,0.7614,0.7829,75,28,19
0.1,0.809,0.766,0.7869,0.7742,72,17,22
0.15,0.8372,0.766,0.8,0.7792,72,14,22
0.2,0.8675,0.766,0.8136,0.7843,72,11,22
0.25,0.8889,0.766,0.8229,0.7877,72,9,22
0.3,0.9,0.766,0.8276,0.7895,72,8,22
0.35,0.9103,0.7553,0.8256,0.7819,71,7,23
0.4,0.9221,0.7553,0.8304,0.7837,71,6,23
0.45,0.9221,0.7553,0.8304,0.7837,71,6,23
0.5,0.9211,0.7447,0.8235,0.7743,70,6,24
0.55,0.9211,0.7447,0.8235,0.7743,70,6,24
0.6,0.9324,0.734,0.8214,0.7667,69,5,25
0.65,0.9324,0.734,0.8214,0.7667,69,5,25
0.7,0.9315,0.7234,0.8144,0.7572,68,5,26
0.75,0.9315,0.7234,0.8144,0.7572,68,5,26
0.8,0.9315,0.7234,0.8144,0.7572,68,5,26
0.85,0.9444,0.7234,0.8193,0.7589,68,4,26
0.9,0.9571,0.7128,0.8171,0.7511,67,3,27
0.95,0.9571,0.7128,0.8171,0.7511,67,3,27
